2.0 0.8 50,50,50,50,50,50,50,50,50,50
2.0 0.9 50,50,50,50,50,50,50,50,50,50
2.0 1.0 50,50,50,50,50,50,50,50,50,50
2.0 1.1 50,50,50,50,50,50,50,50,50,50
2.0 1.2 50,50,50,50,50,50,50,50,50,50
2.0 1.3 50,50,50,50,50,50,50,50,50,51
2.0 1.4 50,49,50,51,50,50,50,50,50,50
2.0 1.5 50,50,50,54,50,50,50,50,47,50
2.0 1.6 52,47,50,51,52,50,51,50,51,50
2.0 1.7 51,51,49,51,56,36,56,58,44,55
2.0 1.8 40,67,55,22,60,53,51,56,50,58
2.0 1.9 93,56,97,50,70,7,65,15,79,19
2.0 2.0 1,1,1,1,1,1,1,1,1,1
